25/01/2010 12:21:17 : Starting build.
25/01/2010 13:55:31 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c07__my_teeth.pdf
25/01/2010 13:55:31 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c08__me_and_my_school.pdf
25/01/2010 13:55:32 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c09__some_more_about_me.pdf
25/01/2010 13:55:32 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c10__my_world.pdf
25/01/2010 13:55:32 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c11__my_hands_my_feet_and_me.pdf
25/01/2010 13:55:33 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c12__rings_and_things.pdf
25/01/2010 13:55:34 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c13__teeth_and_things_boy.pdf
25/01/2010 13:55:34 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c14__school_life_and_me.pdf
25/01/2010 13:55:34 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c15__watches_and_funny_feelings.pdf
25/01/2010 13:55:35 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c16__all_around_me.pdf
25/01/2010 13:55:35 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c17__food_and_things.pdf
25/01/2010 13:55:36 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c18__reading_and_singing.pdf
25/01/2010 13:55:36 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c19__travelling_leisure_and_school.pdf
25/01/2010 13:55:38 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c20__girls_experiences_thoughts_and_behaviour.pdf
25/01/2010 13:55:38 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c51__year11_young_people.pdf
25/01/2010 13:55:39 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c52__you_and_your_friends.pdf
25/01/2010 13:55:39 : Extracting : R:\data\documentation\quest_pdf\childc\ques_q21__life_of_a_teenager.pdf
25/01/2010 13:55:40 : Extracting : R:\data\documentation\quest_pdf\childc\ques_q22__Life_of_a_16_plus_Teenager.pdf
25/01/2010 13:55:42 : Extracting : R:\data\documentation\quest_pdf\school\ques_s01__childs_behaviour_and_abilities.pdf
25/01/2010 13:55:42 : Extracting : R:\data\documentation\quest_pdf\school\ques_s02__about_your_class_2000.pdf
25/01/2010 13:55:43 : Extracting : R:\data\documentation\quest_pdf\school\ques_s03__about_your_school_2000.pdf
25/01/2010 13:55:44 : Extracting : R:\data\documentation\quest_pdf\school\ques_s04__year4_maths_teacher_booklet.pdf
25/01/2010 13:55:44 : Extracting : R:\data\documentation\quest_pdf\school\ques_s05__The_developing_child.pdf
25/01/2010 13:55:44 : Extracting : R:\data\documentation\quest_pdf\school\ques_s06__questionnaire_for_the_class_teacher.pdf
25/01/2010 13:55:45 : Extracting : R:\data\documentation\quest_pdf\school\ques_s07__questionnaire_for_the_head_teacher.pdf
25/01/2010 13:55:45 : Extracting : R:\data\documentation\quest_pdf\school\ques_s08__year6_maths_teacher_guide.pdf
25/01/2010 13:55:46 : Extracting : R:\data\documentation\quest_pdf\school\ques_s09__year6_science.pdf
25/01/2010 13:55:46 : Extracting : R:\data\documentation\quest_pdf\school\ques_s10__Year6_spelling.pdf
25/01/2010 13:55:46 : Extracting : R:\data\documentation\quest_pdf\school\ques_s11__year7_maths_teacher.pdf
25/01/2010 13:55:46 : Extracting : R:\data\documentation\quest_pdf\school\ques_s13__SL_Maths_Teacher_2005.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\Focus07_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\Focus08_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\Focus09_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\Focus10_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\Focus11_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\TF1_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\TF2_intro.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\focus\TF3_v1.pdf
25/01/2010 13:55:48 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1501f_PUB1.pdf
25/01/2010 13:55:49 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1501m_PUB1.pdf
25/01/2010 13:55:49 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1502f_PUB2.pdf
25/01/2010 13:55:50 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1502m_PUB2.pdf
25/01/2010 13:55:51 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1503f_PUB3.pdf
25/01/2010 13:55:52 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1503m_PUB3.pdf
25/01/2010 13:55:52 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1504f_PUB4.pdf
25/01/2010 13:55:55 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1504m_PUB4.pdf
25/01/2010 13:55:55 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1505f_PUB5.pdf
25/01/2010 13:55:57 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1505m_PUB5.pdf
