25/01/2010 12:07:55 : Starting build.
25/01/2010 14:14:46 : Extracting : R:\data\documentation\built_pdf\childc\CCXA.pdf
25/01/2010 14:14:48 : Extracting : R:\data\documentation\built_pdf\childc\CCXB.pdf
25/01/2010 14:14:53 : Extracting : R:\data\documentation\built_pdf\focus\cif.pdf
25/01/2010 14:15:00 : Extracting : R:\data\documentation\built_pdf\focus\fat10.pdf
25/01/2010 14:15:04 : Extracting : R:\data\documentation\built_pdf\focus\fat11.pdf
25/01/2010 14:15:10 : Extracting : R:\data\documentation\built_pdf\focus\fat7.pdf
25/01/2010 14:15:17 : Extracting : R:\data\documentation\built_pdf\focus\fat8.pdf
25/01/2010 14:15:24 : Extracting : R:\data\documentation\built_pdf\focus\fat9.pdf
25/01/2010 14:15:28 : Extracting : R:\data\documentation\built_pdf\focus\TF1.pdf
25/01/2010 14:15:38 : Extracting : R:\data\documentation\built_pdf\puberty\D1501_PUB1.pdf
25/01/2010 14:15:39 : Extracting : R:\data\documentation\built_pdf\puberty\D1502_PUB2.pdf
25/01/2010 14:15:40 : Extracting : R:\data\documentation\built_pdf\puberty\D1503_PUB3.pdf
25/01/2010 14:15:42 : Extracting : R:\data\documentation\built_pdf\puberty\D1504_PUB4.pdf
25/01/2010 14:15:45 : Extracting : R:\data\documentation\built_pdf\puberty\D1505_PUB5.pdf
25/01/2010 14:15:46 : Extracting : R:\data\documentation\built_pdf\puberty\D1506_PUB6.pdf
25/01/2010 14:15:48 : Extracting : R:\data\documentation\built_pdf\puberty\D1507_PUB7.pdf
25/01/2010 14:15:49 : Extracting : R:\data\documentation\built_pdf\school\KS2.pdf
25/01/2010 14:15:51 : Extracting : R:\data\documentation\built_pdf\school\KS3.pdf
25/01/2010 14:15:53 : Extracting : R:\data\documentation\built_pdf\school\PLASC.pdf
25/01/2010 14:15:56 : Extracting : R:\data\documentation\built_pdf\school\sa.pdf
25/01/2010 14:16:00 : Extracting : R:\data\documentation\built_pdf\school\SABC.pdf
25/01/2010 14:16:16 : Extracting : R:\data\documentation\built_pdf\school\SATS.pdf
25/01/2010 14:16:17 : Extracting : R:\data\documentation\built_pdf\school\SB.pdf
25/01/2010 14:16:22 : Extracting : R:\data\documentation\built_pdf\school\SC.pdf
25/01/2010 14:16:27 : Extracting : R:\data\documentation\built_pdf\school\SD.pdf
25/01/2010 14:16:29 : Extracting : R:\data\documentation\built_pdf\school\SE.pdf
25/01/2010 14:16:33 : Extracting : R:\data\documentation\built_pdf\school\SEFG.pdf
25/01/2010 14:16:49 : Extracting : R:\data\documentation\built_pdf\school\SF.pdf
25/01/2010 14:16:54 : Extracting : R:\data\documentation\built_pdf\school\SG.pdf
25/01/2010 14:17:00 : Extracting : R:\data\documentation\built_pdf\school\SH.pdf
25/01/2010 14:17:04 : Extracting : R:\data\documentation\built_pdf\school\SK.pdf
25/01/2010 14:17:07 : Creating Index
25/01/2010 14:17:50 :   Total PDF files in all directories : 70
25/01/2010 14:17:50 :   Total new files : 70
25/01/2010 14:17:50 :   Total pages indexed : 10533
25/01/2010 14:17:50 :   Total number of files skipped : 0
25/01/2010 14:17:50 :   Total deleted files : 0
25/01/2010 14:17:50 : Index build successful.

25/01/2010 19:31:35 : Starting build.
25/01/2010 19:31:35 : Searching : R:\data\documentation\built_pdf\childb\
25/01/2010 19:31:36 : Searching : R:\data\documentation\built_pdf\childc\
25/01/2010 19:31:36 : Searching : R:\data\documentation\built_pdf\focus\
25/01/2010 19:31:36 : Searching : R:\data\documentation\built_pdf\Quest\Puberty\
25/01/2010 19:31:37 : Searching : R:\data\documentation\built_pdf\Quest\Schools\
25/01/2010 19:31:37 : Searching : R:\data\documentation\built_pdf\External\Education\
25/01/2010 19:31:37 : Indexing 16 files
25/01/2010 19:31:37 : Deleting 22 files
25/01/2010 19:31:37 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1501_PUB1.pdf
25/01/2010 19:31:38 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1502_PUB2.pdf
25/01/2010 19:31:39 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1503_PUB3.pdf
25/01/2010 19:31:41 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1504_PUB4.pdf
25/01/2010 19:31:44 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1505_PUB5.pdf
25/01/2010 19:31:45 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1506_PUB6.pdf
25/01/2010 19:31:47 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1507_PUB7.pdf
25/01/2010 19:31:48 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1604_SABC.pdf
25/01/2010 19:32:06 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1605_SD.pdf
25/01/2010 19:32:08 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1609_SEFG.pdf
25/01/2010 19:32:25 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1610_SH.pdf
25/01/2010 19:32:29 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1614_SK.pdf
25/01/2010 19:32:32 : Extracting : R:\data\documentation\built_pdf\External\Education\D3101_SATS.pdf
25/01/2010 19:32:33 : Extracting : R:\data\documentation\built_pdf\External\Education\D3102_KS2.pdf
25/01/2010 19:32:34 : Extracting : R:\data\documentation\built_pdf\External\Education\D3103_KS3.pdf
25/01/2010 19:32:37 : Extracting : R:\data\documentation\built_pdf\External\Education\D3104_PLASC.pdf
25/01/2010 19:32:39 : Creating Index
25/01/2010 19:32:45 :   Total PDF files in all directories : 64
25/01/2010 19:32:45 :   Total new files : 16
25/01/2010 19:32:45 :   Total pages indexed : 1685
25/01/2010 19:32:45 :   Total number of files skipped : 0
25/01/2010 19:32:45 :   Total deleted files : 22
25/01/2010 19:32:45 : Index build successful.

26/01/2010 09:53:16 : Starting rebuild
26/01/2010 09:53:17 : Deleting files from current index
26/01/2010 09:53:17 : Deleting : R:\data\documentation\Indexes\Child_Documentation_Index\index.idx
26/01/2010 09:53:17 : Deleting : R:\data\documentation\Indexes\Child_Documentation_Index\index1.idx
26/01/2010 09:53:17 : Deleting : R:\data\documentation\Indexes\Child_Documentation_Index\index2.idx
26/01/2010 09:53:17 : Searching : R:\data\documentation\built_pdf\childb\
26/01/2010 09:53:18 : Searching : R:\data\documentation\built_pdf\focus\
26/01/2010 09:53:18 : Searching : R:\data\documentation\built_pdf\Quest\Puberty\
26/01/2010 09:53:19 : Searching : R:\data\documentation\built_pdf\Quest\Schools\
26/01/2010 09:53:19 : Searching : R:\data\documentation\built_pdf\External\Education\
26/01/2010 09:53:19 : Searching : R:\data\documentation\built_pdf\Quest\Child Completed\
26/01/2010 09:53:19 : Indexing 64 files
26/01/2010 09:53:19 : Extracting : R:\data\documentation\built_pdf\childb\ka.pdf
26/01/2010 09:53:23 : Extracting : R:\data\documentation\built_pdf\childb\kb.pdf
26/01/2010 09:53:36 : Extracting : R:\data\documentation\built_pdf\childb\kc.pdf
26/01/2010 09:53:42 : Extracting : R:\data\documentation\built_pdf\childb\kd.pdf
26/01/2010 09:53:46 : Extracting : R:\data\documentation\built_pdf\childb\ke.pdf
26/01/2010 09:53:53 : Extracting : R:\data\documentation\built_pdf\childb\kf.pdf
26/01/2010 09:53:56 : Extracting : R:\data\documentation\built_pdf\childb\kg.pdf
26/01/2010 09:54:06 : Extracting : R:\data\documentation\built_pdf\childb\kj.pdf
26/01/2010 09:54:11 : Extracting : R:\data\documentation\built_pdf\childb\KK.pdf
26/01/2010 09:54:17 : Extracting : R:\data\documentation\built_pdf\childb\kl.pdf
26/01/2010 09:54:27 : Extracting : R:\data\documentation\built_pdf\childb\km.pdf
26/01/2010 09:54:36 : Extracting : R:\data\documentation\built_pdf\childb\kn.pdf
26/01/2010 09:54:44 : Extracting : R:\data\documentation\built_pdf\childb\kp.pdf
26/01/2010 09:54:54 : Extracting : R:\data\documentation\built_pdf\childb\kq.pdf
26/01/2010 09:55:04 : Extracting : R:\data\documentation\built_pdf\childb\kr.pdf
26/01/2010 09:55:19 : Extracting : R:\data\documentation\built_pdf\childb\ks.pdf
26/01/2010 09:55:25 : Extracting : R:\data\documentation\built_pdf\childb\kt.pdf
26/01/2010 09:55:32 : Extracting : R:\data\documentation\built_pdf\childb\ku.pdf
26/01/2010 09:55:43 : Extracting : R:\data\documentation\built_pdf\childb\kv.pdf
26/01/2010 09:55:51 : Extracting : R:\data\documentation\built_pdf\childb\kw.pdf
26/01/2010 09:56:01 : Extracting : R:\data\documentation\built_pdf\childb\ta.pdf
26/01/2010 09:56:10 : Extracting : R:\data\documentation\built_pdf\childb\TB.pdf
26/01/2010 09:56:18 : Extracting : R:\data\documentation\built_pdf\childb\TXA.pdf
26/01/2010 09:56:19 : Extracting : R:\data\documentation\built_pdf\focus\cif.pdf
26/01/2010 09:56:27 : Extracting : R:\data\documentation\built_pdf\focus\fat10.pdf
26/01/2010 09:56:31 : Extracting : R:\data\documentation\built_pdf\focus\fat11.pdf
26/01/2010 09:56:37 : Extracting : R:\data\documentation\built_pdf\focus\fat7.pdf
26/01/2010 09:56:43 : Extracting : R:\data\documentation\built_pdf\focus\fat8.pdf
26/01/2010 09:56:50 : Extracting : R:\data\documentation\built_pdf\focus\fat9.pdf
26/01/2010 09:56:54 : Extracting : R:\data\documentation\built_pdf\focus\TF1.pdf
26/01/2010 09:57:05 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1501_PUB1.pdf
26/01/2010 09:57:06 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1502_PUB2.pdf
26/01/2010 09:57:06 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1503_PUB3.pdf
26/01/2010 09:57:09 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1504_PUB4.pdf
26/01/2010 09:57:13 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1505_PUB5.pdf
26/01/2010 09:57:14 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1506_PUB6.pdf
26/01/2010 09:57:16 : Extracting : R:\data\documentation\built_pdf\Quest\Puberty\D1507_PUB7.pdf
